Black Soldiers Mattered--Hudson--Unit names and descriptive information																																				
																																				
Unique Unit ID	Service Location	Broad Type of Unit	Type of Unit	Combat Division	Combat Brigade & Field Artillery	Camp Organized	When Unit Organized	Location * This will be available on the reference spreadsheet	Unit Location changed	When Unit change camps	Port of Embarkation	When Unit Embarked	Where Unit Served--SOS	"Where Unit Served--""Army"" troops"	Description of Unit Responsibilities	Unusual Unit Experiences	Demobilized When	Demobilized Where	Interpretive Assistance**for me	Companies																
Emb Hosp Camp Stuart	Domestic	Medical & Sanitary Corps	Military Hospital in the US: Embarkation Hospital			Camp Stuart	1917-11									connected with Newport News	1919-09	Newport News	MD Emb Hospital																	
MD Ft Des Moines	Domestic	Medical & Sanitary Corps	Medical Department			Fort Des Moines													"Medical Department, Ft. Des Moines, IA"																	
MD Infirmary 2 Camp Travis	Domestic	Medical & Sanitary Corps	"Medical Department, Infirmary"			Camp Travis													"Medical Department Infirmary 2, Camp Travis"																	
Hq Infirmary Camp Greene	Domestic	Medical & Sanitary Corps	Headquarters Infirmary			Camp Greene													Headquarters Infirmary Camp Greene																	
MD Sn C Camp Stuart	Domestic	Medical & Sanitary Corps	Medical Department			Camp Stuart													"Medical Department Sanitary Corps, Camp Stuart"																	
MD	Domestic	Medical & Sanitary Corps	Medical Department			unknown													Medical Department																	
Sn C Det Camp Sevier	Domestic	Medical & Sanitary Corps	Sanitary Crops Detachment			Camp Sevier													"Sanitary Corps Detachment, Camp Sevier"																	
Sn C Det Port Terminal Charleston	Domestic	Medical & Sanitary Corps	Sanitary Crops Detachment			Charleston Port Terminal													"Sanitary Corps Detachment, Port Terminal Charleston"																	
Sn C Det	Domestic	Medical & Sanitary Corps	Sanitary Crops Detachment			unknown													Sanitary Corps Detachment																	
Sn C	Domestic	Medical & Sanitary Corps	Sanitary Corps			unknown													Sanitary Corps 																	
Sn C Newport News	Domestic	Medical & Sanitary Corps	Sanitary Corps			Newport News													Sanitary Corps 																	
Malaria Drainage Det Sn C	Domestic	Medical & Sanitary Corps	"Malaria Drainage Detachment, Sanitary Corps"			unknown													Malaria Drainage Dat Sn Corps																	
C. Utility Casual Unit TOTALS																			Utility Cas Unit TOTALS																	
Utility Cas Co Overseas Camp Merritt	Domestic	Misc. Detachment	Utility Casual Company			Camp Merritt													"Utility Company Overseas Casual, Camp Merritt"																	
Utility Co Cas Dept Camp Merritt	Domestic	Misc. Detachment	Utility Casual Company			Camp Merritt																														
Utility Cas Co Camp Merritt	Domestic	Misc. Detachment	Utility Casual Company			Camp Merritt													"Utility Casual Company, Camp Merritt"																	
7 Utility Det Camp Merritt	Domestic	Misc. Detachment	Utility Casual Detachment			Camp Merritt													Utility Detachment																	
District 7 Camp Merritt	Domestic	Misc. Detachment	Utility Casual Detachment			Camp Merritt																														
Hob Cas Co 244	Domestic	Misc. Detachment	Hoboken Casual Company			Camp Merritt													Hoboken Casual Company 244 																	
Hob Cas Co 362	Domestic	Misc. Detachment	Hoboken Casual Company			Camp Merritt													Hoboken Casual Company 362																	
Hob Cas Co 160	Domestic	Misc. Detachment	Hoboken Casual Company			Camp Merritt													Hoboken Casual Company 160																	
C. Various  Domestic Detachment																			Miscellanous Domestic Units																	
Chemical Warfare Res Div	Domestic	Misc. Detachment	Chemical Warfare Research Division			"Washington, D.C."													Chemical Warfare Research Division																	
Chemical Warfare Service	Domestic	Misc. Detachment	Chemical Warfare Service			Edgewood													Chemical Warfare Service																	
2 Salvage Det Camp Lee	Domestic	Misc. Detachment	Salvage Detachment			Camp Lee													2 Salvage Detachment																	
Ord Corps	Domestic	Misc. Detachment	Ordnance Corps			unknown													Ordnance Corps																	
Ord Dept Camp Amatol 	Domestic	Misc. Detachment	Ordnance Department			Amatol Arsenal													"Ordnance Dept, Camp Amatol, NJ"																	
B & S Det Dem Gr Camp Lee 	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			Camp Lee																														
B & S Det Camp Lee	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			Camp Lee													"Billeting & Supply Detachment, Camp Lee"																	
B & S Det 15	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			unknown													Billeting and Supply Detachment 15																	
3rd B & S Det Dem Gr	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			unknown													"3rd Billeting and Supply Detachment, Demobilization Group"																	
1st B & S Det Dem Gr	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			unknown													"1st Billeting and Supply Detachment, Demobilization Group"																	
2nd B S Det Gp	Domestic	Misc. Detachment	"Billeting & Supply Detachment, Demobilization Group"			unknown													"2nd Billeting and Supply Detachment, Demobilization Group"	Overseas in a named battled need to discover meaning																
18 Ord Sup Co 1 Bn Camp Amatol	Domestic	Misc. Detachment	Ordnance Supply Company			Amatol Arsenal													"18 Ordnance Supply Company, 1st Battalion, Camp Amatol "																	
16 Ord Sup Co 1 Bn	Domestic	Misc. Detachment	Ordnance Supply Company			unknown													"16 Ordnance Supply Company, 1st Battalion"																	
Provost Gd Co Camp Jackson	Domestic	Misc. Detachment	Provost Guard Company			Camp Jackson													"Provost General Company, Camp Jackson"																	
Provost Gd Co Military Police	Domestic	Misc. Detachment	Provost Guard Company			unknown													Provost General Company Military Police																	
Cas Co Camp Lee	Domestic	Misc. Detachment	Casual Detachment			Camp Lee																														
Cas Det Camp Jackson	Domestic	Misc. Detachment	Casual Detachment			Camp Jackson																														
Cas Det Camp Lee	Domestic	Misc. Detachment	Casual Detachment			Camp Lee																														
Cas Det Camp Sevier	Domestic	Misc. Detachment	Casual Detachment			Camp Sevier																														
Casual	Domestic	Misc. Detachment	Casual Detachment			unknown														Need to research this																
DQM Washington DC	Domestic	Misc. Detachment	Depot Quartermaster			"Washington, D.C."																														
F Rmt Sq 349	Domestic	Misc. Detachment	Field Remount Squadron			Camp Jackson	1918-12										1919-05	Camp Jackson																		
Serv Co Sig C	Domestic	Misc. Detachment	"Service Company, Signal Corps"			unknown													Service Company Signal Corps																	
Regular Army TOTALS																			Regular Army TOTALS																	
9 Cav	Philippines	Regular Army	Regular Army Cavalry			Camp Stotsenburg	1866										no indication																			
10 Cav	Domestic	Regular Army	Regular Army Cavalry			Fort Huachuca	1866										no indication																			
24 Inf	Domestic	Regular Army	Regular Army Infantry			Camp Furlong	1866										1919-12	Camp Furlong		"B, C"																
25 Inf	Domestic	Regular Army	Regular Army Infantry			Schofield Banks	1866		Camp Little	1918-10					Patrolling the Mexican border		no indication			"B, D, L"																
 MISC Domestic																			MISC Domestic																	
VC Camp Lee	Domestic	Misc. Domestic	Veterinary Corps			Camp Lee													"Veterinary Company, Camp Lee"																	
VC	Domestic	Misc. Domestic	Veterinary Corps			unknown													Veterinary Company 																	
Engrs Enl Res Corps	Domestic	Misc. Domestic	Engineers Enlistment Reserve Corps			unknown														Need to research this																
QMC	Domestic	Misc. Domestic	Quartermaster Corps			unknown													Quartermaster Corps																	
QMC Camp GREENE	Domestic	Misc. Domestic	Quartermaster Corps			Camp Greene																														
QMC Camp Taylor	Domestic	Misc. Domestic	Quartermaster Corps			Camp Taylor																														
QMC DET	Domestic	Misc. Domestic	Quartermaster Corps			unknown																														
Disch Unit 4 Camp Dix	Domestic	Misc. Domestic	Discharge Unit			Camp Dix														Research																
QMC Labor Bn	Domestic	Misc. Domestic	Service (Labor) Battalion			unknown																														
Labor Bn	Both	Misc. Domestic	Service (Labor) Battalion			unknown													Unknown Labor Battalion																	
Inf Unassigned Camp Sheridan	Domestic	Misc. Domestic	Infantry Unassigned			Camp Sheridan																														
Unassigned Camp Greene	Domestic	Misc. Domestic	Unassigned			Camp Greene																														
Camp Merritt 	Domestic	Misc. Domestic	unknown			Camp Merritt 																														
Mitchell Fld LINY 	Domestic	Misc. Domestic	unknown			Mitchell Field														Research																
Unassigned	Domestic	Misc. Domestic	Unassigned			unknown													Unassigned																	
Furloughed to Reserve	NA	Misc. Domestic	NA			unknown																														
302 Labor Bn	NA	Misc. Domestic	# never organized			unknown													302 Labor Battalion	Never organized but on the card																
81 FA	NA	Misc. Domestic	# never organized			unknown														Strange																
396 Labor Bn	NA	Misc. Domestic	not a Labor Bn number			unknown														Doesn't exist???																
77 MG Bn Camp Jackson	NA	Misc. Domestic	Unit # never organized			unknown																														
32? Labor Bn	NA	Misc. Domestic	unknown			unknown													32? (Missing number) Labor Battalion																	
116 Engrs	NA	Misc. Domestic	white unit--41st Division			unknown													Engineers (think with 92nd Division)																	
19 FA	NA	Misc. Domestic				unknown																														
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
